Fighters,Carriers,Cruisers,Destroyers,Dreadnaught,Warsun,Score,FleetSize,WinRate,Cost
0.0,0.0,0.0,0.0,0.0,1.0,11.5,1.0,0.0005111111111111112,12.0
0.0,0.0,0.0,0.0,3.0,0.0,763.0,3.0,0.033911111111111114,12.0
0.0,0.0,0.0,4.0,2.0,0.0,20286.0,6.0,0.9016,12.0
0.0,0.0,1.0,2.0,2.0,0.0,17025.5,5.0,0.7566888888888889,12.0
0.0,0.0,2.0,0.0,2.0,0.0,4223.5,4.0,0.1877111111111111,12.0
0.0,0.0,3.0,2.0,1.0,0.0,20419.5,6.0,0.9075333333333333,12.0
0.0,0.0,4.0,0.0,1.0,0.0,10853.5,5.0,0.4823777777777778,12.0
0.0,0.0,6.0,0.0,0.0,0.0,14725.0,6.0,0.6544444444444445,12.0
0.0,1.0,0.0,1.0,2.0,0.0,10592.0,4.0,0.47075555555555554,12.0
0.0,1.0,1.0,3.0,1.0,0.0,18530.0,6.0,0.8235555555555556,12.0
0.0,1.0,2.0,1.0,1.0,0.0,16700.5,5.0,0.7422444444444445,12.0
0.0,1.0,4.0,1.0,0.0,0.0,19091.0,6.0,0.8484888888888888,12.0
0.0,2.0,0.0,2.0,1.0,0.0,13200.0,5.0,0.5866666666666667,12.0
0.0,2.0,1.0,0.0,1.0,0.0,2908.5,4.0,0.12926666666666667,12.0
0.0,2.0,2.0,2.0,0.0,0.0,16665.0,6.0,0.7406666666666667,12.0
0.0,2.0,3.0,0.0,0.0,0.0,7108.5,5.0,0.31593333333333334,12.0
0.0,3.0,0.0,3.0,0.0,0.0,9558.0,6.0,0.4248,12.0
0.0,3.0,1.0,1.0,0.0,0.0,9279.0,5.0,0.4124,12.0
0.0,4.0,0.0,0.0,0.0,0.0,1002.5,4.0,0.04455555555555556,12.0
2.0,0.0,0.0,3.0,2.0,0.0,18205.5,5.0,0.8091333333333334,12.0
2.0,0.0,1.0,1.0,2.0,0.0,11988.5,4.0,0.5328222222222222,12.0
2.0,1.0,0.0,0.0,2.0,0.0,3742.0,3.0,0.1663111111111111,12.0
2.0,1.0,0.0,4.0,1.0,0.0,17558.5,6.0,0.7803777777777777,12.0
2.0,1.0,1.0,2.0,1.0,0.0,16271.0,5.0,0.7231555555555556,12.0
2.0,1.0,2.0,0.0,1.0,0.0,7243.0,4.0,0.3219111111111111,12.0
2.0,1.0,3.0,2.0,0.0,0.0,19153.5,6.0,0.8512666666666666,12.0
2.0,1.0,4.0,0.0,0.0,0.0,11330.5,5.0,0.5035777777777778,12.0
2.0,2.0,0.0,1.0,1.0,0.0,9540.0,4.0,0.424,12.0
2.0,2.0,1.0,3.0,0.0,0.0,14532.5,6.0,0.6458888888888888,12.0
2.0,2.0,2.0,1.0,0.0,0.0,14059.5,5.0,0.6248666666666667,12.0
2.0,3.0,0.0,2.0,0.0,0.0,8854.0,5.0,0.3935111111111111,12.0
2.0,3.0,1.0,0.0,0.0,0.0,3302.0,4.0,0.14675555555555556,12.0
4.0,1.0,0.0,3.0,1.0,0.0,15595.5,5.0,0.6931333333333334,12.0
4.0,1.0,1.0,1.0,1.0,0.0,13279.5,4.0,0.5902,12.0
4.0,1.0,2.0,3.0,0.0,0.0,17829.5,6.0,0.7924222222222223,12.0
4.0,1.0,3.0,1.0,0.0,0.0,16569.0,5.0,0.7364,12.0
4.0,2.0,0.0,0.0,1.0,0.0,5221.0,3.0,0.23204444444444444,12.0
4.0,2.0,0.0,4.0,0.0,0.0,11945.0,6.0,0.5308888888888889,12.0
4.0,2.0,1.0,2.0,0.0,0.0,12533.0,5.0,0.5570222222222222,12.0
4.0,2.0,2.0,0.0,0.0,0.0,6610.0,4.0,0.2937777777777778,12.0
4.0,3.0,0.0,1.0,0.0,0.0,7111.0,4.0,0.31604444444444446,12.0
6.0,2.0,0.0,3.0,0.0,0.0,11065.5,5.0,0.4918,12.0
6.0,2.0,1.0,1.0,0.0,0.0,9888.5,4.0,0.4394888888888889,12.0
6.0,3.0,0.0,0.0,0.0,0.0,4529.0,3.0,0.20128888888888888,12.0
8.0,2.0,0.0,2.0,0.0,0.0,9348.5,4.0,0.4154888888888889,12.0
8.0,2.0,1.0,0.0,0.0,0.0,7252.0,3.0,0.3223111111111111,12.0
