Fighters,Carriers,Cruisers,Destroyers,Dreadnaught,Warsun,Score,FleetSize,WinRate,Cost
0.0,0.0,0.0,2.0,1.0,0.0,3068.5,3.0,0.5579090909090909,6.0
0.0,0.0,0.0,6.0,0.0,0.0,4912.0,6.0,0.893090909090909,6.0
0.0,0.0,1.0,0.0,1.0,0.0,518.0,2.0,0.09418181818181819,6.0
0.0,0.0,1.0,4.0,0.0,0.0,5005.5,5.0,0.9100909090909091,6.0
0.0,0.0,2.0,2.0,0.0,0.0,4896.0,4.0,0.8901818181818182,6.0
0.0,0.0,3.0,0.0,0.0,0.0,1634.0,3.0,0.29709090909090907,6.0
0.0,1.0,0.0,3.0,0.0,0.0,3935.0,4.0,0.7154545454545455,6.0
0.0,1.0,1.0,1.0,0.0,0.0,3022.0,3.0,0.5494545454545454,6.0
0.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0005454545454545455,6.0
2.0,1.0,0.0,2.0,0.0,0.0,2478.0,3.0,0.4505454545454545,6.0
2.0,1.0,1.0,0.0,0.0,0.0,1512.5,2.0,0.275,6.0
4.0,1.0,0.0,1.0,0.0,0.0,2015.5,2.0,0.3664545454545455,6.0
