Fighters,Carriers,Cruisers,Destroyers,Dreadnaught,Warsun,Score,FleetSize,WinRate,Cost
0.0,0.0,0.0,0.0,2.0,1.0,1016.0,3.0,0.04725581395348837,20.0
0.0,0.0,0.0,0.0,5.0,0.0,2530.0,5.0,0.11767441860465117,20.0
0.0,0.0,1.0,2.0,1.0,1.0,10951.5,5.0,0.5093720930232558,20.0
0.0,0.0,2.0,0.0,1.0,1.0,2044.0,4.0,0.09506976744186046,20.0
0.0,0.0,4.0,0.0,0.0,1.0,4536.5,5.0,0.211,20.0
0.0,1.0,0.0,1.0,1.0,1.0,2266.0,4.0,0.1053953488372093,20.0
0.0,1.0,2.0,1.0,0.0,1.0,10828.0,5.0,0.5036279069767442,20.0
0.0,2.0,0.0,2.0,0.0,1.0,6962.0,5.0,0.3238139534883721,20.0
0.0,2.0,1.0,0.0,0.0,1.0,537.0,4.0,0.02497674418604651,20.0
2.0,0.0,0.0,3.0,1.0,1.0,21372.0,5.0,0.994046511627907,20.0
2.0,0.0,1.0,1.0,1.0,1.0,12865.0,4.0,0.5983720930232558,20.0
2.0,0.0,3.0,1.0,0.0,1.0,16303.5,5.0,0.7583023255813953,20.0
2.0,1.0,0.0,0.0,1.0,1.0,3962.0,3.0,0.18427906976744185,20.0
2.0,1.0,0.0,0.0,4.0,0.0,4546.5,5.0,0.21146511627906978,20.0
2.0,1.0,1.0,2.0,0.0,1.0,16648.0,5.0,0.7743255813953488,20.0
2.0,1.0,2.0,0.0,0.0,1.0,5011.0,4.0,0.23306976744186048,20.0
2.0,2.0,0.0,1.0,0.0,1.0,9794.0,4.0,0.4555348837209302,20.0
4.0,0.0,0.0,2.0,1.0,1.0,17072.5,4.0,0.7940697674418604,20.0
4.0,0.0,1.0,0.0,1.0,1.0,8436.0,3.0,0.3923720930232558,20.0
4.0,0.0,1.0,0.0,4.0,0.0,8712.5,5.0,0.4052325581395349,20.0
4.0,0.0,2.0,2.0,0.0,1.0,18947.0,5.0,0.8812558139534884,20.0
4.0,0.0,3.0,0.0,0.0,1.0,11747.5,4.0,0.5463953488372093,20.0
4.0,1.0,0.0,3.0,0.0,1.0,19453.5,5.0,0.9048139534883721,20.0
4.0,1.0,1.0,1.0,0.0,1.0,14459.5,4.0,0.6725348837209303,20.0
4.0,2.0,0.0,0.0,0.0,1.0,5692.5,3.0,0.26476744186046514,20.0
4.0,2.0,0.0,0.0,3.0,0.0,5887.5,5.0,0.2738372093023256,20.0
6.0,0.0,0.0,1.0,1.0,1.0,14309.5,3.0,0.6655581395348837,20.0
6.0,0.0,1.0,3.0,0.0,1.0,20482.5,5.0,0.9526744186046512,20.0
6.0,0.0,2.0,1.0,0.0,1.0,18952.0,4.0,0.8814883720930232,20.0
6.0,1.0,0.0,2.0,0.0,1.0,17783.5,4.0,0.8271395348837209,20.0
6.0,1.0,1.0,0.0,0.0,1.0,10524.0,3.0,0.48948837209302326,20.0
6.0,1.0,1.0,0.0,3.0,0.0,10666.0,5.0,0.49609302325581395,20.0
6.0,3.0,0.0,0.0,2.0,0.0,6811.5,5.0,0.3168139534883721,20.0
8.0,1.0,0.0,1.0,0.0,1.0,17101.0,3.0,0.7953953488372093,20.0
8.0,2.0,1.0,0.0,2.0,0.0,9616.0,5.0,0.44725581395348835,20.0
8.0,4.0,0.0,0.0,1.0,0.0,6457.0,5.0,0.3003255813953488,20.0
10.0,1.0,0.0,0.0,0.0,1.0,13256.0,2.0,0.6165581395348837,20.0
10.0,2.0,0.0,1.0,2.0,0.0,15874.5,5.0,0.7383488372093023,20.0
10.0,3.0,1.0,0.0,1.0,0.0,10551.0,5.0,0.49074418604651165,20.0
10.0,5.0,0.0,0.0,0.0,0.0,5282.0,5.0,0.24567441860465117,20.0
12.0,3.0,0.0,1.0,1.0,0.0,16803.5,5.0,0.7815581395348837,20.0
12.0,4.0,1.0,0.0,0.0,0.0,9218.5,5.0,0.4287674418604651,20.0
14.0,4.0,0.0,1.0,0.0,0.0,16804.5,5.0,0.7816046511627907,20.0
16.0,4.0,0.0,0.0,0.0,0.0,9925.5,4.0,0.4616511627906977,20.0
