Fighters,Carriers,Cruisers,Destroyers,Dreadnaught,Warsun,Score,FleetSize,WinRate,Cost
0.0,0.0,0.0,3.0,1.0,0.0,5410.0,4.0,0.7728571428571429,7.0
0.0,0.0,1.0,1.0,1.0,0.0,3766.5,3.0,0.5380714285714285,7.0
0.0,0.0,1.0,5.0,0.0,0.0,6399.0,6.0,0.9141428571428571,7.0
0.0,0.0,2.0,3.0,0.0,0.0,6441.0,5.0,0.9201428571428572,7.0
0.0,0.0,3.0,1.0,0.0,0.0,5538.0,4.0,0.7911428571428571,7.0
0.0,1.0,0.0,0.0,1.0,0.0,16.5,2.0,0.002357142857142857,7.0
0.0,1.0,0.0,4.0,0.0,0.0,5221.5,5.0,0.7459285714285714,7.0
0.0,1.0,1.0,2.0,0.0,0.0,4788.0,4.0,0.684,7.0
0.0,1.0,2.0,0.0,0.0,0.0,1405.5,3.0,0.2007857142857143,7.0
0.0,2.0,0.0,1.0,0.0,0.0,1474.0,3.0,0.21057142857142858,7.0
2.0,1.0,0.0,3.0,0.0,0.0,3988.0,4.0,0.5697142857142857,7.0
2.0,1.0,1.0,1.0,0.0,0.0,2610.5,3.0,0.37292857142857144,7.0
2.0,2.0,0.0,0.0,0.0,0.0,834.0,2.0,0.11914285714285715,7.0
4.0,1.0,0.0,2.0,0.0,0.0,3078.0,3.0,0.4397142857142857,7.0
4.0,1.0,1.0,0.0,0.0,0.0,1529.5,2.0,0.2185,7.0
