Fighters,Carriers,Cruisers,Destroyers,Dreadnaught,Warsun,Score,FleetSize,WinRate,Cost
0.0,0.0,0.0,2.0,2.0,0.0,8983.5,4.0,0.56146875,10.0
0.0,0.0,1.0,0.0,2.0,0.0,780.0,3.0,0.04875,10.0
0.0,0.0,1.0,4.0,1.0,0.0,14830.0,6.0,0.926875,10.0
0.0,0.0,2.0,2.0,1.0,0.0,13710.5,5.0,0.85690625,10.0
0.0,0.0,3.0,0.0,1.0,0.0,4665.0,4.0,0.2915625,10.0
0.0,0.0,4.0,2.0,0.0,0.0,14943.0,6.0,0.9339375,10.0
0.0,0.0,5.0,0.0,0.0,0.0,9240.5,5.0,0.57753125,10.0
0.0,1.0,0.0,3.0,1.0,0.0,11500.0,5.0,0.71875,10.0
0.0,1.0,1.0,1.0,1.0,0.0,9191.5,4.0,0.57446875,10.0
0.0,1.0,2.0,3.0,0.0,0.0,13622.5,6.0,0.85140625,10.0
0.0,1.0,3.0,1.0,0.0,0.0,12922.5,5.0,0.80765625,10.0
0.0,2.0,0.0,0.0,1.0,0.0,267.5,3.0,0.01671875,10.0
0.0,2.0,0.0,4.0,0.0,0.0,8717.5,6.0,0.54484375,10.0
0.0,2.0,1.0,2.0,0.0,0.0,9564.0,5.0,0.59775,10.0
0.0,2.0,2.0,0.0,0.0,0.0,2944.5,4.0,0.18403125,10.0
0.0,3.0,0.0,1.0,0.0,0.0,4134.0,4.0,0.258375,10.0
2.0,0.0,0.0,1.0,2.0,0.0,6353.0,3.0,0.3970625,10.0
2.0,1.0,0.0,2.0,1.0,0.0,9443.5,4.0,0.59021875,10.0
2.0,1.0,1.0,0.0,1.0,0.0,3205.0,3.0,0.2003125,10.0
2.0,1.0,1.0,4.0,0.0,0.0,12364.0,6.0,0.77275,10.0
2.0,1.0,2.0,2.0,0.0,0.0,12151.5,5.0,0.75946875,10.0
2.0,1.0,3.0,0.0,0.0,0.0,5964.0,4.0,0.37275,10.0
2.0,2.0,0.0,3.0,0.0,0.0,8357.0,5.0,0.5223125,10.0
2.0,2.0,1.0,1.0,0.0,0.0,7720.0,4.0,0.4825,10.0
2.0,3.0,0.0,0.0,0.0,0.0,1257.0,3.0,0.0785625,10.0
4.0,1.0,0.0,1.0,1.0,0.0,5921.5,3.0,0.37009375,10.0
4.0,1.0,0.0,5.0,0.0,0.0,10370.0,6.0,0.648125,10.0
4.0,1.0,1.0,3.0,0.0,0.0,11043.5,5.0,0.69021875,10.0
4.0,1.0,2.0,1.0,0.0,0.0,9713.0,4.0,0.6070625,10.0
4.0,2.0,0.0,2.0,0.0,0.0,6995.0,4.0,0.4371875,10.0
4.0,2.0,1.0,0.0,0.0,0.0,3321.0,3.0,0.2075625,10.0
6.0,2.0,0.0,1.0,0.0,0.0,5512.5,3.0,0.34453125,10.0
8.0,2.0,0.0,0.0,0.0,0.0,4292.0,2.0,0.26825,10.0
