Fighters,Carriers,Cruisers,Destroyers,Dreadnaught,Warsun,Score,FleetSize,WinRate,Cost
0.0,0.0,1.0,4.0,0.0,0.0,4736.5,5.0,0.9473,6.0
0.0,0.0,2.0,2.0,0.0,0.0,4640.5,4.0,0.9281,6.0
0.0,1.0,0.0,3.0,0.0,0.0,3909.5,4.0,0.7819,6.0
0.0,0.0,0.0,2.0,1.0,0.0,3100.0,3.0,0.62,6.0
0.0,1.0,1.0,1.0,0.0,0.0,2519.5,3.0,0.5039,6.0
2.0,1.0,0.0,2.0,0.0,0.0,2515.0,3.0,0.503,6.0
0.0,0.0,3.0,0.0,0.0,0.0,2035.0,3.0,0.407,6.0
4.0,1.0,0.0,1.0,0.0,0.0,2017.0,2.0,0.4034,6.0
2.0,1.0,1.0,0.0,0.0,0.0,1513.5,2.0,0.3027,6.0
0.0,0.0,1.0,0.0,1.0,0.0,513.0,2.0,0.1026,6.0
0.0,2.0,0.0,0.0,0.0,0.0,0.5,2.0,0.0001,6.0
