Fighters,Carriers,Cruisers,Destroyers,Dreadnaught,Warsun,Score,FleetSize,WinRate,Cost
4.0,1.0,0.0,1.0,1.0,0.0,3963.5,3.0,0.990875,10.0
2.0,0.0,0.0,1.0,2.0,0.0,3485.0,3.0,0.87125,10.0
6.0,2.0,0.0,1.0,0.0,0.0,3014.5,3.0,0.753625,10.0
8.0,2.0,0.0,0.0,0.0,0.0,2236.0,2.0,0.559,10.0
4.0,2.0,1.0,0.0,0.0,0.0,1891.0,3.0,0.47275,10.0
2.0,1.0,1.0,0.0,1.0,0.0,1850.0,3.0,0.4625,10.0
2.0,3.0,0.0,0.0,0.0,0.0,966.5,3.0,0.241625,10.0
0.0,0.0,1.0,0.0,2.0,0.0,548.0,3.0,0.137,10.0
0.0,2.0,0.0,0.0,1.0,0.0,45.5,3.0,0.011375,10.0
