Fighters,Carriers,Cruisers,Destroyers,Dreadnaught,Warsun,Score,FleetSize,WinRate,Cost
8.0,2.0,1.0,1.0,0.0,0.0,8221.5,4.0,0.9135,13.0
4.0,2.0,0.0,1.0,1.0,0.0,8182.5,4.0,0.9091666666666667,13.0
2.0,1.0,0.0,1.0,2.0,0.0,7419.0,4.0,0.8243333333333334,13.0
6.0,3.0,0.0,1.0,0.0,0.0,6963.5,4.0,0.7737222222222222,13.0
0.0,0.0,0.0,1.0,3.0,0.0,6778.0,4.0,0.7531111111111111,13.0
4.0,1.0,2.0,0.0,1.0,0.0,5696.0,4.0,0.6328888888888888,13.0
6.0,2.0,2.0,0.0,0.0,0.0,5647.5,4.0,0.6275,13.0
6.0,2.0,0.0,0.0,1.0,0.0,5455.5,3.0,0.6061666666666666,13.0
4.0,1.0,0.0,0.0,2.0,0.0,5260.0,3.0,0.5844444444444444,13.0
2.0,0.0,2.0,0.0,2.0,0.0,4687.0,4.0,0.5207777777777778,13.0
8.0,3.0,0.0,0.0,0.0,0.0,4568.0,3.0,0.5075555555555555,13.0
2.0,0.0,0.0,0.0,3.0,0.0,4056.0,3.0,0.45066666666666666,13.0
2.0,2.0,1.0,0.0,1.0,0.0,3923.0,4.0,0.4358888888888889,13.0
4.0,3.0,1.0,0.0,0.0,0.0,3392.5,4.0,0.37694444444444447,13.0
2.0,0.0,0.0,0.0,0.0,1.0,1610.5,1.0,0.17894444444444443,13.0
2.0,4.0,0.0,0.0,0.0,0.0,1484.0,4.0,0.1648888888888889,13.0
0.0,1.0,1.0,0.0,2.0,0.0,1247.0,4.0,0.13855555555555554,13.0
0.0,3.0,0.0,0.0,1.0,0.0,896.0,4.0,0.09955555555555555,13.0
0.0,0.0,0.0,1.0,0.0,1.0,12.5,2.0,0.001388888888888889,13.0
