Fighters,Carriers,Cruisers,Destroyers,Dreadnaught,Warsun,Score,FleetSize,WinRate,Cost
0.0,0.0,0.0,4.0,0.0,1.0,19886.5,5.0,0.994325,16.0
6.0,1.0,0.0,2.0,2.0,0.0,18518.5,5.0,0.925925,16.0
2.0,0.0,1.0,1.0,3.0,0.0,17408.5,5.0,0.870425,16.0
4.0,1.0,1.0,1.0,2.0,0.0,17235.0,5.0,0.86175,16.0
2.0,0.0,0.0,3.0,0.0,1.0,17022.0,4.0,0.8511,16.0
8.0,2.0,0.0,2.0,1.0,0.0,16495.5,5.0,0.824775,16.0
6.0,2.0,1.0,1.0,1.0,0.0,16209.5,5.0,0.810475,16.0
2.0,2.0,0.0,1.0,2.0,0.0,15817.5,5.0,0.790875,16.0
8.0,3.0,1.0,1.0,0.0,0.0,15333.0,5.0,0.76665,16.0
4.0,3.0,0.0,1.0,1.0,0.0,14612.5,5.0,0.730625,16.0
10.0,3.0,0.0,2.0,0.0,0.0,14267.5,5.0,0.713375,16.0
0.0,1.0,0.0,1.0,3.0,0.0,14092.5,5.0,0.704625,16.0
12.0,3.0,0.0,1.0,0.0,0.0,13516.5,4.0,0.675825,16.0
4.0,0.0,0.0,2.0,0.0,1.0,13442.5,3.0,0.672125,16.0
6.0,0.0,0.0,1.0,0.0,1.0,13195.0,2.0,0.65975,16.0
6.0,4.0,0.0,1.0,0.0,0.0,13006.5,5.0,0.650325,16.0
0.0,0.0,1.0,2.0,0.0,1.0,12471.5,4.0,0.623575,16.0
2.0,0.0,1.0,1.0,0.0,1.0,12454.5,3.0,0.622725,16.0
8.0,2.0,3.0,0.0,0.0,0.0,11394.5,5.0,0.569725,16.0
8.0,2.0,1.0,0.0,1.0,0.0,10380.5,4.0,0.519025,16.0
10.0,3.0,1.0,0.0,0.0,0.0,10254.0,4.0,0.5127,16.0
6.0,1.0,1.0,0.0,2.0,0.0,9802.5,4.0,0.490125,16.0
4.0,2.0,2.0,0.0,1.0,0.0,8665.5,5.0,0.433275,16.0
6.0,3.0,2.0,0.0,0.0,0.0,8621.0,5.0,0.43105,16.0
4.0,0.0,1.0,0.0,0.0,1.0,8352.0,2.0,0.4176,16.0
2.0,1.0,2.0,0.0,2.0,0.0,8303.5,5.0,0.415175,16.0
4.0,2.0,0.0,0.0,2.0,0.0,7265.0,4.0,0.36325,16.0
6.0,3.0,0.0,0.0,1.0,0.0,7095.5,4.0,0.354775,16.0
8.0,4.0,0.0,0.0,0.0,0.0,6298.0,4.0,0.3149,16.0
2.0,1.0,0.0,0.0,3.0,0.0,5947.0,4.0,0.29735,16.0
0.0,0.0,2.0,0.0,3.0,0.0,5866.5,5.0,0.293325,16.0
2.0,3.0,1.0,0.0,1.0,0.0,5333.5,5.0,0.266675,16.0
4.0,4.0,1.0,0.0,0.0,0.0,5200.5,5.0,0.260025,16.0
0.0,2.0,1.0,0.0,2.0,0.0,3426.5,5.0,0.171325,16.0
0.0,4.0,0.0,0.0,1.0,0.0,2465.5,5.0,0.123275,16.0
0.0,0.0,0.0,0.0,4.0,0.0,2349.0,4.0,0.11745,16.0
2.0,5.0,0.0,0.0,0.0,0.0,2176.0,5.0,0.1088,16.0
2.0,1.0,0.0,0.0,0.0,1.0,2045.0,2.0,0.10225,16.0
0.0,1.0,0.0,1.0,0.0,1.0,1641.0,3.0,0.08205,16.0
0.0,0.0,2.0,0.0,0.0,1.0,1104.5,3.0,0.055225,16.0
0.0,0.0,0.0,0.0,1.0,1.0,1028.0,2.0,0.0514,16.0
