Fighters,Carriers,Cruisers,Destroyers,Dreadnaught,Warsun,Score,FleetSize,WinRate,Cost
0.0,0.0,0.0,5.0,0.0,1.0,34081.0,6.0,0.9600281690140845,17.0
2.0,0.0,1.0,2.0,3.0,0.0,31947.0,6.0,0.8999154929577465,17.0
2.0,1.0,2.0,1.0,2.0,0.0,30987.0,6.0,0.8728732394366198,17.0
4.0,1.0,1.0,2.0,2.0,0.0,30984.5,6.0,0.8728028169014085,17.0
0.0,0.0,2.0,1.0,3.0,0.0,30941.5,6.0,0.8715915492957746,17.0
2.0,0.0,0.0,4.0,0.0,1.0,30693.5,5.0,0.8646056338028169,17.0
6.0,1.0,0.0,3.0,2.0,0.0,30450.0,6.0,0.8577464788732394,17.0
0.0,1.0,0.0,2.0,3.0,0.0,30138.0,6.0,0.8489577464788732,17.0
0.0,0.0,1.0,3.0,0.0,1.0,29646.5,5.0,0.835112676056338,17.0
4.0,2.0,2.0,1.0,1.0,0.0,29339.0,6.0,0.8264507042253522,17.0
8.0,2.0,3.0,1.0,0.0,0.0,28226.5,6.0,0.7951126760563381,17.0
2.0,2.0,0.0,2.0,2.0,0.0,28055.0,6.0,0.790281690140845,17.0
6.0,2.0,1.0,2.0,1.0,0.0,28009.0,6.0,0.7889859154929577,17.0
0.0,2.0,1.0,1.0,2.0,0.0,27061.0,6.0,0.7622816901408451,17.0
8.0,2.0,0.0,3.0,1.0,0.0,27029.5,6.0,0.7613943661971831,17.0
6.0,1.0,1.0,1.0,2.0,0.0,26072.0,5.0,0.7344225352112677,17.0
4.0,0.0,0.0,3.0,0.0,1.0,25970.5,4.0,0.7315633802816901,17.0
8.0,2.0,1.0,1.0,1.0,0.0,25899.5,5.0,0.7295633802816901,17.0
2.0,3.0,1.0,1.0,1.0,0.0,25190.0,6.0,0.7095774647887324,17.0
6.0,3.0,2.0,1.0,0.0,0.0,24931.0,6.0,0.7022816901408451,17.0
4.0,3.0,0.0,2.0,1.0,0.0,24759.0,6.0,0.6974366197183098,17.0
2.0,1.0,0.0,1.0,3.0,0.0,24386.0,5.0,0.6869295774647888,17.0
8.0,3.0,1.0,2.0,0.0,0.0,23597.0,6.0,0.6647042253521127,17.0
4.0,2.0,0.0,1.0,2.0,0.0,23331.0,5.0,0.6572112676056338,17.0
10.0,3.0,0.0,3.0,0.0,0.0,22777.5,6.0,0.6416197183098592,17.0
0.0,0.0,0.0,1.0,4.0,0.0,22702.5,5.0,0.6395070422535212,17.0
2.0,0.0,1.0,2.0,0.0,1.0,22247.5,4.0,0.6266901408450705,17.0
10.0,3.0,1.0,1.0,0.0,0.0,21976.5,5.0,0.6190563380281691,17.0
6.0,0.0,0.0,2.0,0.0,1.0,21211.0,3.0,0.5974929577464789,17.0
12.0,3.0,0.0,2.0,0.0,0.0,21042.5,5.0,0.5927464788732394,17.0
6.0,3.0,0.0,1.0,1.0,0.0,20909.0,5.0,0.5889859154929578,17.0
4.0,4.0,1.0,1.0,0.0,0.0,20186.5,6.0,0.5686338028169015,17.0
6.0,4.0,0.0,2.0,0.0,0.0,19940.5,6.0,0.5617042253521127,17.0
4.0,0.0,1.0,1.0,0.0,1.0,18850.5,3.0,0.531,17.0
8.0,4.0,0.0,1.0,0.0,0.0,18376.0,5.0,0.5176338028169014,17.0
2.0,0.0,4.0,0.0,2.0,0.0,18076.5,6.0,0.5091971830985915,17.0
0.0,4.0,0.0,1.0,1.0,0.0,17969.0,6.0,0.5061690140845071,17.0
6.0,2.0,4.0,0.0,0.0,0.0,17775.0,6.0,0.5007042253521127,17.0
4.0,1.0,4.0,0.0,1.0,0.0,17069.5,6.0,0.48083098591549295,17.0
6.0,0.0,1.0,0.0,0.0,1.0,16272.0,2.0,0.45836619718309857,17.0
12.0,3.0,1.0,0.0,0.0,0.0,15250.0,4.0,0.4295774647887324,17.0
6.0,2.0,2.0,0.0,1.0,0.0,14230.5,5.0,0.40085915492957747,17.0
4.0,1.0,2.0,0.0,2.0,0.0,14012.5,5.0,0.3947183098591549,17.0
8.0,3.0,2.0,0.0,0.0,0.0,13742.5,5.0,0.38711267605633803,17.0
2.0,2.0,3.0,0.0,1.0,0.0,12865.5,6.0,0.36240845070422534,17.0
0.0,1.0,3.0,0.0,2.0,0.0,12637.0,6.0,0.3559718309859155,17.0
2.0,5.0,0.0,1.0,0.0,0.0,12593.5,6.0,0.35474647887323946,17.0
2.0,0.0,2.0,0.0,3.0,0.0,12474.0,5.0,0.35138028169014085,17.0
2.0,1.0,0.0,1.0,0.0,1.0,12221.0,3.0,0.34425352112676055,17.0
6.0,2.0,0.0,0.0,2.0,0.0,11880.0,4.0,0.3346478873239437,17.0
4.0,3.0,3.0,0.0,0.0,0.0,11743.0,6.0,0.3307887323943662,17.0
4.0,1.0,0.0,0.0,3.0,0.0,11537.5,4.0,0.325,17.0
8.0,3.0,0.0,0.0,1.0,0.0,11344.0,4.0,0.3195492957746479,17.0
0.0,1.0,0.0,2.0,0.0,1.0,10617.5,4.0,0.29908450704225353,17.0
4.0,1.0,0.0,0.0,0.0,1.0,9999.0,2.0,0.2816619718309859,17.0
10.0,4.0,0.0,0.0,0.0,0.0,9805.0,4.0,0.27619718309859154,17.0
2.0,2.0,1.0,0.0,2.0,0.0,9743.0,5.0,0.2744507042253521,17.0
4.0,3.0,1.0,0.0,1.0,0.0,9312.0,5.0,0.2623098591549296,17.0
0.0,3.0,2.0,0.0,1.0,0.0,8785.5,6.0,0.24747887323943663,17.0
0.0,0.0,2.0,1.0,0.0,1.0,8485.0,4.0,0.23901408450704226,17.0
