Fighters,Carriers,Cruisers,Destroyers,Dreadnaught,Warsun,Score,FleetSize,WinRate,Cost
2.0,0.0,1.0,4.0,0.0,1.0,38054.0,6.0,0.9757435897435898,19.0
4.0,0.0,0.0,5.0,0.0,1.0,37245.5,6.0,0.9550128205128205,19.0
0.0,0.0,2.0,3.0,0.0,1.0,36294.0,6.0,0.9306153846153846,19.0
0.0,1.0,0.0,4.0,0.0,1.0,35898.5,6.0,0.9204743589743589,19.0
6.0,0.0,0.0,4.0,0.0,1.0,34800.0,5.0,0.8923076923076924,19.0
4.0,0.0,1.0,3.0,0.0,1.0,33159.0,5.0,0.8502307692307692,19.0
6.0,1.0,2.0,1.0,2.0,0.0,32936.0,6.0,0.8445128205128205,19.0
2.0,0.0,0.0,2.0,4.0,0.0,32596.5,6.0,0.8358076923076924,19.0
4.0,1.0,0.0,2.0,3.0,0.0,32428.5,6.0,0.8315,19.0
2.0,0.0,2.0,2.0,0.0,1.0,32294.5,5.0,0.8280641025641026,19.0
2.0,1.0,1.0,1.0,3.0,0.0,32194.0,6.0,0.8254871794871795,19.0
0.0,0.0,1.0,1.0,4.0,0.0,31950.5,6.0,0.8192435897435898,19.0
8.0,2.0,2.0,1.0,1.0,0.0,30784.0,6.0,0.7893333333333333,19.0
6.0,2.0,0.0,2.0,2.0,0.0,30407.0,6.0,0.7796666666666666,19.0
4.0,2.0,1.0,1.0,2.0,0.0,30337.5,6.0,0.7778846153846154,19.0
6.0,0.0,1.0,2.0,0.0,1.0,29047.5,4.0,0.7448076923076923,19.0
2.0,1.0,0.0,3.0,0.0,1.0,28765.5,5.0,0.7375769230769231,19.0
0.0,0.0,0.0,3.0,1.0,1.0,28648.5,5.0,0.7345769230769231,19.0
6.0,1.0,0.0,1.0,3.0,0.0,28103.0,5.0,0.7205897435897436,19.0
6.0,3.0,1.0,1.0,1.0,0.0,28073.5,6.0,0.7198333333333333,19.0
12.0,3.0,1.0,2.0,0.0,0.0,27778.5,6.0,0.7122692307692308,19.0
2.0,3.0,0.0,1.0,2.0,0.0,27224.0,6.0,0.6980512820512821,19.0
4.0,0.0,0.0,1.0,4.0,0.0,27086.0,5.0,0.6945128205128205,19.0
0.0,2.0,0.0,1.0,3.0,0.0,26648.0,6.0,0.6832820512820513,19.0
10.0,3.0,2.0,1.0,0.0,0.0,26636.5,6.0,0.6829871794871795,19.0
8.0,3.0,0.0,2.0,1.0,0.0,25566.0,6.0,0.6555384615384615,19.0
4.0,1.0,0.0,2.0,0.0,1.0,25324.0,4.0,0.6493333333333333,19.0
8.0,2.0,0.0,1.0,2.0,0.0,25072.0,5.0,0.6428717948717949,19.0
4.0,0.0,2.0,1.0,0.0,1.0,24504.5,4.0,0.6283205128205128,19.0
0.0,1.0,1.0,2.0,0.0,1.0,24096.5,5.0,0.6178589743589744,19.0
0.0,0.0,3.0,1.0,0.0,1.0,24074.0,5.0,0.6172820512820513,19.0
10.0,3.0,0.0,1.0,1.0,0.0,24060.0,5.0,0.6169230769230769,19.0
8.0,4.0,1.0,1.0,0.0,0.0,23529.0,6.0,0.6033076923076923,19.0
2.0,0.0,0.0,2.0,1.0,1.0,23477.0,4.0,0.601974358974359,19.0
10.0,4.0,0.0,2.0,0.0,0.0,23027.5,6.0,0.5904487179487179,19.0
4.0,4.0,0.0,1.0,1.0,0.0,22077.5,6.0,0.5660897435897436,19.0
12.0,4.0,0.0,1.0,0.0,0.0,21730.5,5.0,0.5571923076923077,19.0
6.0,1.0,0.0,1.0,0.0,1.0,21533.0,3.0,0.5521282051282052,19.0
6.0,0.0,2.0,0.0,0.0,1.0,20630.0,3.0,0.528974358974359,19.0
4.0,0.0,0.0,1.0,1.0,1.0,20261.0,3.0,0.5195128205128206,19.0
2.0,1.0,1.0,1.0,0.0,1.0,19964.5,4.0,0.5119102564102564,19.0
6.0,5.0,0.0,1.0,0.0,0.0,19200.5,6.0,0.4923205128205128,19.0
8.0,1.0,0.0,0.0,0.0,1.0,18695.5,2.0,0.4793717948717949,19.0
12.0,3.0,2.0,0.0,0.0,0.0,17679.0,5.0,0.4533076923076923,19.0
6.0,0.0,0.0,0.0,1.0,1.0,17166.5,2.0,0.44016666666666665,19.0
6.0,2.0,3.0,0.0,1.0,0.0,16867.5,6.0,0.4325,19.0
10.0,2.0,0.0,0.0,2.0,0.0,16737.5,4.0,0.42916666666666664,19.0
4.0,1.0,3.0,0.0,2.0,0.0,16734.5,6.0,0.4290897435897436,19.0
12.0,3.0,0.0,0.0,1.0,0.0,16289.0,4.0,0.4176666666666667,19.0
8.0,3.0,3.0,0.0,0.0,0.0,15836.0,6.0,0.40605128205128205,19.0
14.0,4.0,0.0,0.0,0.0,0.0,15539.0,4.0,0.3984358974358974,19.0
2.0,0.0,3.0,0.0,3.0,0.0,14988.5,6.0,0.3843205128205128,19.0
6.0,2.0,1.0,0.0,2.0,0.0,13954.5,5.0,0.3578076923076923,19.0
8.0,3.0,1.0,0.0,1.0,0.0,13452.0,5.0,0.34492307692307694,19.0
10.0,4.0,1.0,0.0,0.0,0.0,12969.5,5.0,0.33255128205128204,19.0
4.0,1.0,1.0,0.0,0.0,1.0,12672.5,3.0,0.32493589743589746,19.0
4.0,1.0,1.0,0.0,3.0,0.0,12533.5,5.0,0.32137179487179485,19.0
2.0,2.0,2.0,0.0,2.0,0.0,11605.0,6.0,0.29756410256410254,19.0
4.0,3.0,2.0,0.0,1.0,0.0,11119.0,6.0,0.2851025641025641,19.0
2.0,0.0,1.0,0.0,4.0,0.0,10814.0,5.0,0.2772820512820513,19.0
6.0,4.0,2.0,0.0,0.0,0.0,10384.5,6.0,0.26626923076923076,19.0
2.0,0.0,3.0,0.0,0.0,1.0,10190.0,4.0,0.2612820512820513,19.0
0.0,1.0,2.0,0.0,3.0,0.0,9273.5,6.0,0.2377820512820513,19.0
6.0,4.0,0.0,0.0,1.0,0.0,8431.5,5.0,0.21619230769230768,19.0
4.0,3.0,0.0,0.0,2.0,0.0,8294.5,5.0,0.21267948717948718,19.0
2.0,2.0,0.0,0.0,3.0,0.0,7378.0,5.0,0.18917948717948718,19.0
2.0,4.0,1.0,0.0,1.0,0.0,6557.0,6.0,0.16812820512820512,19.0
0.0,0.0,1.0,1.0,1.0,1.0,6336.5,4.0,0.16247435897435897,19.0
8.0,5.0,0.0,0.0,0.0,0.0,6308.5,5.0,0.16175641025641024,19.0
0.0,3.0,1.0,0.0,2.0,0.0,5861.0,6.0,0.15028205128205127,19.0
4.0,5.0,1.0,0.0,0.0,0.0,5848.5,6.0,0.14996153846153845,19.0
2.0,0.0,1.0,0.0,1.0,1.0,5843.5,3.0,0.14983333333333335,19.0
0.0,2.0,0.0,1.0,0.0,1.0,3643.5,4.0,0.09342307692307693,19.0
0.0,1.0,0.0,0.0,4.0,0.0,3394.0,5.0,0.08702564102564103,19.0
2.0,2.0,0.0,0.0,0.0,1.0,3278.0,3.0,0.08405128205128205,19.0
0.0,5.0,0.0,0.0,1.0,0.0,2371.0,6.0,0.060794871794871794,19.0
2.0,6.0,0.0,0.0,0.0,0.0,2251.0,6.0,0.05771794871794872,19.0
0.0,1.0,2.0,0.0,0.0,1.0,852.5,4.0,0.02185897435897436,19.0
0.0,1.0,0.0,0.0,1.0,1.0,832.0,3.0,0.021333333333333333,19.0
