Fighters,Carriers,Cruisers,Destroyers,Dreadnaught,Warsun,Score,FleetSize,WinRate,Cost
6.0,0.0,1.0,1.0,0.0,1.0,3994.0,3.0,0.9985,18.0
4.0,1.0,0.0,1.0,0.0,1.0,3485.5,3.0,0.871375,18.0
4.0,0.0,2.0,0.0,0.0,1.0,2954.5,3.0,0.738625,18.0
6.0,1.0,0.0,0.0,0.0,1.0,2555.0,2.0,0.63875,18.0
2.0,0.0,0.0,1.0,1.0,1.0,1996.5,3.0,0.499125,18.0
4.0,0.0,0.0,0.0,1.0,1.0,1508.0,2.0,0.377,18.0
2.0,1.0,1.0,0.0,0.0,1.0,1005.0,3.0,0.25125,18.0
0.0,0.0,1.0,0.0,1.0,1.0,501.5,3.0,0.125375,18.0
0.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,18.0
