Fighters,Carriers,Cruisers,Destroyers,Dreadnaught,Warsun,Score,FleetSize,WinRate,Cost
6.0,0.0,1.0,2.0,0.0,1.0,9482.0,4.0,0.9482,19.0
4.0,1.0,0.0,2.0,0.0,1.0,8946.5,4.0,0.89465,19.0
4.0,0.0,0.0,1.0,1.0,1.0,8910.5,3.0,0.89105,19.0
4.0,0.0,2.0,1.0,0.0,1.0,8455.5,4.0,0.84555,19.0
6.0,1.0,0.0,1.0,0.0,1.0,7491.0,3.0,0.7491,19.0
2.0,0.0,0.0,2.0,1.0,1.0,7458.5,4.0,0.74585,19.0
2.0,1.0,1.0,1.0,0.0,1.0,6930.0,4.0,0.693,19.0
8.0,1.0,0.0,0.0,0.0,1.0,6127.5,2.0,0.61275,19.0
6.0,0.0,2.0,0.0,0.0,1.0,5680.0,3.0,0.568,19.0
6.0,0.0,0.0,0.0,1.0,1.0,5187.0,2.0,0.5187,19.0
10.0,2.0,0.0,0.0,2.0,0.0,5133.0,4.0,0.5133,19.0
12.0,3.0,0.0,0.0,1.0,0.0,4900.5,4.0,0.49005,19.0
14.0,4.0,0.0,0.0,0.0,0.0,4625.0,4.0,0.4625,19.0
4.0,1.0,1.0,0.0,0.0,1.0,3952.0,3.0,0.3952,19.0
2.0,0.0,3.0,0.0,0.0,1.0,3147.0,4.0,0.3147,19.0
2.0,0.0,1.0,0.0,1.0,1.0,2538.0,3.0,0.2538,19.0
2.0,2.0,0.0,0.0,0.0,1.0,1520.0,3.0,0.152,19.0
0.0,0.0,1.0,1.0,1.0,1.0,1516.5,4.0,0.15165,19.0
0.0,2.0,0.0,1.0,0.0,1.0,1240.0,4.0,0.124,19.0
0.0,1.0,2.0,0.0,0.0,1.0,1007.0,4.0,0.1007,19.0
0.0,1.0,0.0,0.0,1.0,1.0,752.5,3.0,0.07525,19.0
