Fighters,Carriers,Cruisers,Destroyers,Dreadnaught,Warsun,Score,FleetSize,WinRate,Cost
0.0,0.0,1.0,4.0,0.0,0.0,5192.5,5.0,0.9440909090909091,6.0
0.0,0.0,0.0,6.0,0.0,0.0,4860.0,6.0,0.8836363636363637,6.0
0.0,0.0,2.0,2.0,0.0,0.0,4724.0,4.0,0.858909090909091,6.0
0.0,1.0,0.0,3.0,0.0,0.0,3619.5,4.0,0.6580909090909091,6.0
2.0,1.0,0.0,2.0,0.0,0.0,3105.0,3.0,0.5645454545454546,6.0
0.0,0.0,0.0,2.0,1.0,0.0,2705.5,3.0,0.4919090909090909,6.0
0.0,1.0,1.0,1.0,0.0,0.0,2461.0,3.0,0.44745454545454544,6.0
0.0,0.0,3.0,0.0,0.0,0.0,2263.5,3.0,0.41154545454545455,6.0
4.0,1.0,0.0,1.0,0.0,0.0,1993.5,2.0,0.3624545454545455,6.0
2.0,1.0,1.0,0.0,0.0,0.0,1535.0,2.0,0.2790909090909091,6.0
0.0,0.0,1.0,0.0,1.0,0.0,539.5,2.0,0.09809090909090909,6.0
0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0001818181818181818,6.0
