Fighters,Carriers,Cruisers,Destroyers,Dreadnaught,Warsun,Score,FleetSize,WinRate,Cost
2.0,0.0,0.0,4.0,0.0,1.0,18950.0,5.0,0.9475,17.0
0.0,0.0,1.0,3.0,0.0,1.0,18394.0,5.0,0.9197,17.0
4.0,0.0,0.0,3.0,0.0,1.0,18206.5,4.0,0.910325,17.0
2.0,0.0,1.0,2.0,0.0,1.0,17664.0,4.0,0.8832,17.0
6.0,1.0,1.0,1.0,2.0,0.0,17340.0,5.0,0.867,17.0
8.0,2.0,1.0,1.0,1.0,0.0,17214.5,5.0,0.860725,17.0
2.0,1.0,0.0,1.0,3.0,0.0,15266.5,5.0,0.763325,17.0
10.0,3.0,1.0,1.0,0.0,0.0,15122.5,5.0,0.756125,17.0
12.0,3.0,0.0,2.0,0.0,0.0,15108.0,5.0,0.7554,17.0
6.0,0.0,0.0,2.0,0.0,1.0,14654.5,3.0,0.732725,17.0
4.0,2.0,0.0,1.0,2.0,0.0,14584.0,5.0,0.7292,17.0
4.0,0.0,1.0,1.0,0.0,1.0,14066.0,3.0,0.7033,17.0
6.0,3.0,0.0,1.0,1.0,0.0,14020.5,5.0,0.701025,17.0
0.0,0.0,0.0,1.0,4.0,0.0,13994.5,5.0,0.699725,17.0
8.0,4.0,0.0,1.0,0.0,0.0,13390.0,5.0,0.6695,17.0
6.0,0.0,1.0,0.0,0.0,1.0,11890.0,2.0,0.5945,17.0
12.0,3.0,1.0,0.0,0.0,0.0,10802.0,4.0,0.5401,17.0
6.0,2.0,2.0,0.0,1.0,0.0,10496.0,5.0,0.5248,17.0
0.0,1.0,0.0,2.0,0.0,1.0,10330.0,4.0,0.5165,17.0
8.0,3.0,2.0,0.0,0.0,0.0,10286.0,5.0,0.5143,17.0
2.0,1.0,0.0,1.0,0.0,1.0,10166.0,3.0,0.5083,17.0
4.0,1.0,2.0,0.0,2.0,0.0,9808.5,5.0,0.490425,17.0
0.0,0.0,2.0,1.0,0.0,1.0,9451.5,4.0,0.472575,17.0
6.0,2.0,0.0,0.0,2.0,0.0,8591.5,4.0,0.429575,17.0
2.0,0.0,2.0,0.0,3.0,0.0,8338.5,5.0,0.416925,17.0
4.0,1.0,0.0,0.0,0.0,1.0,7916.0,2.0,0.3958,17.0
8.0,3.0,0.0,0.0,1.0,0.0,7834.0,4.0,0.3917,17.0
4.0,1.0,0.0,0.0,3.0,0.0,7484.0,4.0,0.3742,17.0
10.0,4.0,0.0,0.0,0.0,0.0,6725.5,4.0,0.336275,17.0
6.0,4.0,1.0,0.0,0.0,0.0,6327.5,5.0,0.316375,17.0
4.0,3.0,1.0,0.0,1.0,0.0,6086.5,5.0,0.304325,17.0
2.0,2.0,1.0,0.0,2.0,0.0,5547.5,5.0,0.277375,17.0
2.0,0.0,0.0,0.0,4.0,0.0,5252.0,4.0,0.2626,17.0
2.0,0.0,2.0,0.0,0.0,1.0,5012.0,3.0,0.2506,17.0
2.0,0.0,0.0,0.0,1.0,1.0,2981.0,2.0,0.14905,17.0
0.0,1.0,1.0,0.0,3.0,0.0,2802.5,5.0,0.140125,17.0
2.0,4.0,0.0,0.0,1.0,0.0,2761.5,5.0,0.138075,17.0
4.0,5.0,0.0,0.0,0.0,0.0,2497.5,5.0,0.124875,17.0
0.0,3.0,0.0,0.0,2.0,0.0,1564.0,5.0,0.0782,17.0
0.0,0.0,0.0,1.0,1.0,1.0,1028.5,3.0,0.051425,17.0
0.0,1.0,1.0,0.0,0.0,1.0,44.5,3.0,0.002225,17.0
