Fighters,Carriers,Cruisers,Destroyers,Dreadnaught,Warsun,Score,FleetSize,WinRate,Cost
6.0,0.0,0.0,3.0,0.0,1.0,9991.5,4.0,0.99915,18.0
4.0,0.0,1.0,2.0,0.0,1.0,9471.5,4.0,0.94715,18.0
6.0,0.0,1.0,1.0,0.0,1.0,8508.0,3.0,0.8508,18.0
2.0,1.0,0.0,2.0,0.0,1.0,7949.5,4.0,0.79495,18.0
4.0,1.0,0.0,1.0,0.0,1.0,7455.5,3.0,0.74555,18.0
2.0,0.0,2.0,1.0,0.0,1.0,7450.5,4.0,0.74505,18.0
4.0,0.0,2.0,0.0,0.0,1.0,6104.0,3.0,0.6104,18.0
6.0,1.0,0.0,0.0,0.0,1.0,5673.5,2.0,0.56735,18.0
8.0,2.0,0.0,0.0,2.0,0.0,5098.5,4.0,0.50985,18.0
10.0,3.0,0.0,0.0,1.0,0.0,5024.5,4.0,0.50245,18.0
6.0,1.0,0.0,0.0,3.0,0.0,5001.0,4.0,0.5001,18.0
2.0,0.0,0.0,1.0,1.0,1.0,4967.0,3.0,0.4967,18.0
0.0,0.0,0.0,2.0,1.0,1.0,4481.5,4.0,0.44815,18.0
4.0,0.0,0.0,0.0,4.0,0.0,3962.5,4.0,0.39625,18.0
12.0,4.0,0.0,0.0,0.0,0.0,3960.0,4.0,0.396,18.0
4.0,0.0,0.0,0.0,1.0,1.0,3574.0,2.0,0.3574,18.0
0.0,1.0,1.0,1.0,0.0,1.0,2006.0,4.0,0.2006,18.0
0.0,0.0,3.0,0.0,0.0,1.0,1765.0,4.0,0.1765,18.0
2.0,1.0,1.0,0.0,0.0,1.0,1551.5,3.0,0.15515,18.0
0.0,0.0,1.0,0.0,1.0,1.0,1001.5,3.0,0.10015,18.0
0.0,2.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0003,18.0
