Fighters,Carriers,Cruisers,Destroyers,Dreadnaught,Warsun,Score,FleetSize,WinRate,Cost
4.0,1.0,1.0,1.0,0.0,0.0,3497.5,3.0,0.874375,8.0
0.0,1.0,0.0,1.0,1.0,0.0,3081.5,3.0,0.770375,8.0
2.0,1.0,2.0,0.0,0.0,0.0,2892.0,3.0,0.723,8.0
2.0,2.0,0.0,1.0,0.0,0.0,2839.5,3.0,0.709875,8.0
4.0,2.0,0.0,0.0,0.0,0.0,1984.0,2.0,0.496,8.0
2.0,1.0,0.0,0.0,1.0,0.0,1632.0,2.0,0.408,8.0
0.0,0.0,2.0,0.0,1.0,0.0,1068.5,3.0,0.267125,8.0
0.0,2.0,1.0,0.0,0.0,0.0,979.0,3.0,0.24475,8.0
0.0,0.0,0.0,0.0,2.0,0.0,26.0,2.0,0.0065,8.0
