Fighters,Carriers,Cruisers,Destroyers,Dreadnaught,Warsun,Score,FleetSize,WinRate,Cost
0.0,0.0,2.0,1.0,1.0,0.0,7737.0,4.0,0.967125,9.0
2.0,1.0,2.0,1.0,0.0,0.0,7107.0,4.0,0.888375,9.0
4.0,1.0,1.0,2.0,0.0,0.0,6744.5,4.0,0.8430625,9.0
0.0,1.0,0.0,2.0,1.0,0.0,6120.0,4.0,0.765,9.0
2.0,2.0,0.0,2.0,0.0,0.0,5440.0,4.0,0.68,9.0
0.0,2.0,1.0,1.0,0.0,0.0,5401.5,4.0,0.6751875,9.0
2.0,1.0,0.0,1.0,1.0,0.0,4590.0,3.0,0.57375,9.0
0.0,0.0,0.0,1.0,2.0,0.0,4026.0,3.0,0.50325,9.0
4.0,2.0,0.0,1.0,0.0,0.0,3980.5,3.0,0.4975625,9.0
0.0,1.0,3.0,0.0,0.0,0.0,3392.5,4.0,0.4240625,9.0
4.0,1.0,2.0,0.0,0.0,0.0,3329.0,3.0,0.416125,9.0
4.0,1.0,0.0,0.0,1.0,0.0,2956.5,2.0,0.3695625,9.0
6.0,2.0,0.0,0.0,0.0,0.0,2854.0,2.0,0.35675,9.0
2.0,2.0,1.0,0.0,0.0,0.0,1975.0,3.0,0.246875,9.0
2.0,0.0,0.0,0.0,2.0,0.0,1705.5,2.0,0.2131875,9.0
0.0,1.0,1.0,0.0,1.0,0.0,630.0,3.0,0.07875,9.0
0.0,3.0,0.0,0.0,0.0,0.0,11.0,3.0,0.001375,9.0
